,Empresa,Data Emissão,Data Competência,Número Nota Fiscal,Série,CNPJ Prestador,Código Serviço Municipal,Filial,Tipo Tributação,Benefício Fiscal,Tipo NF,Optante Simples,Fornecedor,Valor Serviço,Valor Dedução,Aliquota ISS,ISS Retido,Analise ISS,Município Prestador,INSS Retido 11%,IRRF (1708),IRRF (8045),PCC (5952),PIS (5979),COFINS (5960),Líquido,Comentario,Cei,filial_formatada,Município,check_filial_prest_mun
10,Grupo Rtsc,2021-01-29,,5,,37613846000107,6912,24.582.368/0001-73,,,,S,ANGELA MODOLLO HERRERA DE OLIVEIRA 08263959888,76.8,,0.0,0.0,Regra Encontrada: SIM | Cód: 6912 | Cód.LC: 13.04 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: SIM | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,8.45,0.0,0,0.0,0,0,68.35,"Confecção de imagem e caricatura na caneca de porcelana | Composição gráfica, inclusive composição de impressos gráficos, fotocomposição, clicheria, zincografia, litografia, fotolitografia, estereotipia, serigrafia e outras matrizes de impressão",,24582368000173,São Paulo,True
11,TimeNow,2021-02-01,,4,,36877841000129,802,01.208.413/0001-29,,,,S,MARCOS ALVES DA SILVEIRA,1200.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 802 | Cód.LC: 8.02 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: Salvador | Cidade Prestação: Vitória,Salvador,132.0,0.0,0,0.0,0,0,1068.0,"Atividades treinamento PowerAPP | Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza",,01208413000129,,False
12,Grupo Rtsc,2021-02-01,,4649,,3933877000123,2660,24.582.368/0001-73,,,,N,PASQUALI SOLUTION - SOLUCOES EM INFORMATICA LTDA,2968.42,,0.0,0.0,Regra Encontrada: SIM | Cód: 2660 | Cód.LC: 1.01 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,44.53,0,138.02,0,0,2699.79,"Servicos de Desenvolvimento Web realizados em janeiro de 2021 Profissional: Ymayro da Cunha Ferreira Retencoes na Fonte: PIS 0,65 % COFINS 3,0 % IRPJ 1,5 % CSLL 1,0 % Valores aproximados dos tributos: Aliquota FEDERAL: 13,45 % Aliquota MUNICIPAL: 3,9 % DADOS PARA PAGAMENTO: 341 - ITAU AGENCIA: 0452 CONTA CORRENTE: 79907 - 5 VALOR LIQUIDO: R$ 2.785,86 VENCIMENTO DESTA COBRANCA: 10/02/2021 | Análise e desenvolvimento de sistemas",,24582368000173,São Paulo,True
13,Grupo Rtsc,2021-02-01,,221161,,5555382000133,5762,24.582.368/0001-73,,,,N,AOVS SISTEMAS DE INFORMATICA S.A.,60.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 5762 | Cód.LC: 8.02 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,6.6,0.9,0,2.79,0,0,46.71,"Treinamento Alura. Treinamento Alura. | Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.",,24582368000173,São Paulo,True
14,Grupo Rtsc,2021-02-02,,2788160,,18277493000177,6298,24.582.368/0001-73,,,,N,LOGGI TECNOLOGIA LTDA.,0.45,,0.0,0.0,Regra Encontrada: SIM | Cód: 6298 | Cód.LC: 10.05 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,0.01,0,0.0,0,0,0.44,"Essa Nota Fiscal consolida todas as contratacoes de servicos de entrega agendadas atraves da Plataforma Loggi, conforme resumo de cobranca e extrato disponiveis na plataforma referentes ao periodo de Janeiro de 2021 - Nota Fiscal emitida conforme permissivo constante na Autorizacao de Regime Especial SEI 6017.2017/0034173-0 e SEI 6017.2017/0047764-0. ( + ) Agenciamento de frete: R$ 0,45 ( + ) Valor do frete: R$ 14,45 ( - ) Subsidio Loggi: R$ 0,00 ( = ) Valor total dos servicos: R$ 14,90 NB: Valor do frete repassado aos prestadores de servico de frete em razao do servico de cobranca prestado a eles pela Loggi. NB: O Servico de frete nao sofrera retencoes em razao dos prestadores de servicos serem integrantes do regime tributario previsto na LC n. 123/2006 - Simples Nacional -, conforme demonstrado no extrato e no historico de pedidos da plataforma, que discriminam cada prestador de servico. | Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios",,24582368000173,São Paulo,True
15,Grupo Rtsc,2021-02-03,,42922,,14998747000195,2919,24.582.368/0001-73,,,,N,TKTL INFORMATICA LTDA,988.93,,0.0,0.0,Regra Encontrada: SIM | Cód: 2919 | Cód.LC: 1.07 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,14.83,0,45.99,0,0,899.43,"Retencoes COFINS 3,00 R$ 29,67; CSLL 1,00 R$ 9,89; PIS 0,65 R$ 6,43; IRRF 1,50 R$ 14,83; Servicos em TI JF Servicos em TI GCP Servicos em TI AWS1 | Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.",,24582368000173,São Paulo,True
16,Segmedic,2021-02-04,,668,,14096190000105,2800,01.475.178/0001-51,,,,N,ZENVIA MOBILE SERVICOS DIGITAIS S.A.,857.16,,2.9,24.86,Regra Encontrada: SIM | Cód: 2800 | Cód.LC: 1.05 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: Nova Iguaçu,São Paulo,0.0,0.0,0,0.0,0,0,832.3,"REF .: 01/01/21 A 31/01/21 CESSAO DE DIREITO DE USO DE PROGRAMA DE COMPUTACAO - Valor aproximado do ( s ) Tributo ( s ) : R $ 31.29 ( 3.65 % ) Federal e R $ 24.86 ( 2.90 % ) Municipal | Licenciamento ou cessão de direito de uso de programas de computação, inclusive distribuição.",,01475178000151,,False
17,Grupo Rtsc,2021-02-11,,2371935,,61600839000155,2097,24.582.368/0001-73,,,,N,CENTRO DE INTEGRACAO EMPRESA ESCOLA CIE E,128.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 2097 | Cód.LC: 27.01 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,1.92,0,5.95,0,0,113.73,"CONTRIBUICAO INSTITUCIONAL DESTINADA A MANUTENCAO DO CIEE - COMPETENCIA: 02/2021, REFERENTE AO BOLETO BANCARIO/NOSSO NUMERO: 009-00007594045-1 LEGISLACAO: IMUNIDADE TRIBUTARIA Decreto n. 9.580/2018 - Artigo n. 181; IRPJ - Instrucao Normativa RFB n. 1700/2017 - Artigo n. 10; CSLL - Instrucao Normativa RFB n. 1700/2017 - Artigo n. 12; PIS/PASEP - Instrucao Normativa RFB n. 1911/2019 - Artigo n. 24; COFINS - Instrucao Normativa RFB n. 1911/2019 - Artigo n. 24. SERVICOS DE ASSISTENCIA SOCIAL | Serviços de assistência social",,24582368000173,São Paulo,True
18,Grupo Rtsc,2021-02-22,,447100,,44315919000140,5711,24.582.368/0001-73,,,,N,FUNDACAO INSTITUTO DE ADMINISTRACAO,1281.71,,0.0,0.0,Regra Encontrada: SIM | Cód: 5711 | Cód.LC: 8.01 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,19.23,0,59.6,0,0,1138.79,"PRESTACAO DE SERVICOS DE TREINAMENTO DO CURSO Pos-Graduacao Lato Sensu Especializacao em Analise de Big Data - TURMA 16 ALUNO: Marcello Ygor Souza da Silva MAR/2021 (1281.71) | Ensino regular pré-escolar, fundamental e médio, inclusive cursos profissionalizantes.",,24582368000173,São Paulo,True
19,Grupo Rtsc,2021-02-24,,36323,,32223020000118,3205,24.582.368/0001-73,,,,N,FLASH TECNOLOGIA E PAGAMENTOS LTDA,3465.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 3205 | Cód.LC: 17.12 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: SIM | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,51.98,0,161.12,0,0,3251.9,"Valor Total - R$ 3.465,00 Compra de Creditos na Plataforma Flash - R$ 3.450,00 Valor total de servicos Flash (5 contas) - R$ 15,00 Data da Compra: 24/02/2021 Compra de beneficios: Vale Refeicao R$ 3.450,00 (5 depositos), e Custo total de contas: R$ 15,00 Contrato 24582368000173-9-39573 Autorizacao de Regime especial - SEI 6017.2019/0041453-7 O ISS incide apenas sobre o valor de servicos Flash indicado acima Local da prestacao de servicos: Sao Paulo - SP | Administração de benefícios relativos a planos de assistência à saúde.",,24582368000173,São Paulo,True
20,Grupo Rtsc,2021-03-02,,43534,,14998747000195,2919,24.582.368/0001-73,,,,N,TKTL INFORMATICA LTDA,1844.19,,0.0,0.0,Regra Encontrada: SIM | Cód: 2919 | Cód.LC: 1.07 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,0.0,27.66,0,85.76,0,0,1677.29,"Retencoes COFINS 3,00 R$ 55,33; CSLL 1,00 R$ 18,44; PIS 0,65 R$ 11,99; IRRF 1,50 R$ 27,66; Servicos em TI JF Servicos em TI GSB11 Axiomas.tEch Servicos em TI GCP Servicos em TI AWS1 | Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.",,24582368000173,São Paulo,True
21,TimeNow,2021-03-02,,104,,22066913000143,2919,01.208.413/0001-29,,,,S,VALADAO PRESTACAO DE SERVICOS EM INFORMATICA EIRELI,5000.0,,2.9,145.0,Regra Encontrada: SIM | Cód: 2919 | Cód.LC: 1.07 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: Vitória,São Paulo,0.0,0.0,0,0.0,0,0,4855.0,"Assessoria e Consultoria em Gestão Empresarial ref . nês fevereiro de 2021 Esta é uma empresa optante pelo SIMPLES NACIONAL , conforme lei complementar 123/2006 , dispensada portanto da retenção do PIS , COFINS , CSLL E IRRF . | Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.",,01208413000129,,False
22,Grupo Rtsc,2021-03-02,,228130,,5555382000133,5762,24.582.368/0001-73,,,,N,AOVS SISTEMAS DE INFORMATICA S.A.,60.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 5762 | Cód.LC: 8.02 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: São Paulo,São Paulo,6.6,0.9,0,2.79,0,0,46.71,"Treinamento Alura. Treinamento Alura. | Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.",,24582368000173,São Paulo,True
23,TimeNow,2021-03-03,,202100000000350,,27384557000391,8640208,01.208.413/0001-29,,,,N,R & L SERVICOS DE MEDICINA DO TRABALHO LTDA.,2739.32,,0.0,0.0,Regra Encontrada: SIM | Cód: 8640208 | Cód.LC: 4.02 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: Niterói | Cidade Prestação: Vitória,Niterói,0.0,41.09,0,821841.2,0,0,-819142.97,"REFERENTE A SERVIÇOS DE MEDICINA OCUPACIONAL E EXAMES COMPLEMENTARES REALIZADOS EM NOSSA EMPRESA . DADOS PARA DEPÓSITO ITAÚ AG 6030 CC 45 629-4 Retenção COFINS Retenção CSL Retenção INSS Retenção IR Retenção PIS Outras Retenções R $ 82,18 R $ 27,39 R $ 0,00 R $ 41,09 R $ 17,81 R $ 0,00 | Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres",,01208413000129,,False
24,TimeNow,2021-03-03,,15556,,3138061000450,403,01.208.413/0001-29,,,,N,SH BRASIL SERVICOS MEDICOS LTDA,59.19,,0.0,0.0,Regra Encontrada: SIM | Cód: 403 | Cód.LC: 4.03 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: Salvador | Cidade Prestação: Vitória,Salvador,0.0,0.0,0,0.0,0,0,59.19,"Serviços de medicina ocupacional prestados por estabelecimento ambulatorial . Não retenção de impostos e contribuições federais . Conforme menciona o item 24 do parágrafo 1º do art . 714 do decreto 9.580 / 18 e Lei 10.833 / 2003 . Valor aproximado dos tributos R $ 9,29 ( 15,72 % ) Fonte : IBPT . Vencimento : 20/03/2021 | Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres",,01208413000129,,False
25,TimeNow,2021-03-03,,27616013,,47866934000174,3205,01.208.413/0001-29,,,,N,TICKET SERVICOS SA,0.0,,2.0,0.0,Regra Encontrada: SIM | Cód: 3205 | Cód.LC: 17.12 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: SIM | Cidade Prestador: São Paulo | Cidade Prestação: Vitória,São Paulo,0.0,0.0,0,0.0,0,0,0.0,"TA DISPONIBILIZACAO DE BENEFICIO QTD 1 R $ 600,60 DESCONTOS CONCEDIDOS -R $ 12,01 VALOR DA CORRETAGEM OU COMISSAO : ZERO Pedido Web : 11396079 Ped GP : 32817821 Contrato : 35286005 7091 IE : ISENTO IM : IRF 1,50 % -IN / SRF 177/87 e 107/91 LEI 12741/12 VL.TRIB.R $ 0,00 Data de Vencimento : 05/04/2021 VALOR TOTAL : R $ 588,59 | Administração de benefícios relativos a planos de assistência à saúde.",,01208413000129,,False
26,TimeNow,2021-03-03,,790669,,53113791001790,105,01.208.413/0001-29,,,,N,TOTVS S.A.,2324.2,,0.0,0.0,Regra Encontrada: SIM | Cód: 105 | Cód.LC: 1.05 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: Joinville | Cidade Prestação: Vitória,Joinville,0.0,0.0,0,0.0,0,0,2324.2,"CDU - LICENCIAMENTO OU CESSAO DE DIREITO DE USO DE PROG.Contrato : CONT81077 Proposta : A37655 / 05 Valor : 2.324,20 / CLIENTE : T81077 / 10. VENC .: 20 / 03 / 2021 / Essa NFS - e nao esta sujeita a Retencao na Fonte do ISSON por Forca do ARTIGO 30. DA LC 116/03 / Esta NFS - e nao esta sujeita as Retencoes na fonte por Forca do ARTIGO 714 RIR / 18 E ARTIGO 30 DA LEI 10.833 / 03 / . | Licenciamento ou cessão de direito de uso de programas de computação",,01208413000129,,False
27,TimeNow,2021-03-03,,372,,27898788000151,2500,01.208.413/0001-29,,,,S,ISKOOL AUDIOVISUAL E MKT LTDA,2784.38,,5.0,139.22,Regra Encontrada: SIM | Cód: 2500 | Cód.LC: 23.01 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: Vitória,São Paulo,0.0,0.0,0,0.0,0,0,2645.16,"Fazer acompanhamento de obra mensal considerando , edição de video mensal , coordenação da ¿ lmagem area com o piloto da obra , instalação de 04 cameras de timelapse e coordenação da troca de baterias e cartões da camera e envio do material de timelapse Forma de pagamento : transferência entre contas Banco : Bradesco Agência : 0421 Conta : 4951-4 Data de pagamento : 20/03/2021 | Serviços de programação e comunicação visual, desenho industrial e congêneres",,01208413000129,,False
28,TimeNow,2021-03-03,,415,,8323577000146,1303,01.208.413/0001-29,,,,S,MACEDO E LEME FOTO E FILMAGEM LTDA,2700.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 1303 | Cód.LC: 13.03 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: NÃO | Analisar ISS LC: NÃO | Cidade Prestador: Lençóis Paulista | Cidade Prestação: Vitória,Lençóis Paulista,0.0,0.0,0,0.0,0,0,2700.0,"FILMAGEM MENSAL COM DRONE - R $ 650,00 REGISTRO FOTOGRAFICO SEMANAL - R $ 1.000,00 ( REFERENTE AO MÊS DE FEVEREIRO ) 35 FOTOS EXTRAS R $ 1.050,00 TOTAL : 2.700,00 FORMA DE PAGAMENTO - A VISTA BRADESCO AG : 0397-2 CONTA : 56.888-0 VENC : 05/03/2021 | Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres",,01208413000129,,False
29,TimeNow,2021-03-04,,531,,32224222000184,1101,01.208.413/0001-29,,,,S,INFOPARK INTEGRAÇÃO DE SISTEMAS LTDA,150.0,,0.0,0.0,Regra Encontrada: SIM | Cód: 1101 | Cód.LC: 11.01 | Buscar ISS Munic. Prestação: SIM | Analisar CEPOM: NÃO | Analisar ISS LC: SIM | Cidade Prestador: Manaus | Cidade Prestação: Vitória,Manaus,0.0,0.0,0,0.0,0,0,150.0,"SERVICO DE ESTACIONAMENTO DO HOTEL STADA PERIODO : 10 A 28-02 DE 2021 . Serviço : 11.01 - GUARDA E ESTACIONAMENTO DE VEÍCULOS TERRESTRES AUTOMOTORES , DE AERONAVES E DE EMBARCAÇÕES . | Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações",,01208413000129,,False
30,TimeNow,2021-03-04,,86349,,16895942000115,2800,01.208.413/0001-29,,,,N,SANTODIGITAL DISTRIBUICAO E CONSULTORIA EM INFORMATICA LTDA,22399.44,,2.9,649.58,Regra Encontrada: SIM | Cód: 2800 | Cód.LC: 1.05 | Buscar ISS Munic. Prestação: NÃO | Analisar CEPOM: SIM | Analisar ISS LC: NÃO | Cidade Prestador: São Paulo | Cidade Prestação: Vitória,São Paulo,0.0,0.0,0,0.0,0,0,21749.86,"Google Workspace Business Starter - Qtde 938 x Valor Unit . R $ 23,88 = Total R $ 22.399,44 . Parcela 003/012 Vencto . 24/03/2021 | Licenciamento ou cessão de direito de uso de programas de computação, inclusive distribuição.",,01208413000129,,False
